time(s),area,x,y,v_x,v_y,theta,area,x,y,v_x,v_y,theta
  0.025, 436.0, 319.7, 315.8,   0.0,   0.0,0, 494.0, 616.2, 537.0,   0.0,   0.0,0,
  0.156, 430.0, 340.7, 292.4, 159.7,-177.9,0, 501.0, 615.9, 536.9,  -1.9,  -0.5,0,
  0.221, 448.5, 349.8, 281.3, 139.2,-170.3,0, 498.5, 615.6, 536.8,  -5.0,  -1.9,0,
  0.293, 446.5, 359.4, 267.9, 135.2,-187.5,0, 504.0, 615.9, 537.1,   3.9,   3.5,0,
  0.355, 436.5, 369.3, 255.3, 158.2,-202.0,0, 501.0, 615.8, 537.2,  -1.9,   1.5,0,
  0.421, 452.5, 378.9, 243.3, 145.0,-180.8,0, 491.0, 616.4, 537.0,   9.7,  -2.6,0,
  0.489, 428.5, 389.1, 232.7, 150.7,-156.5,0, 502.0, 615.8, 537.1,  -9.0,   1.2,0,
  0.555, 429.0, 400.3, 222.7, 170.6,-152.0,0, 492.5, 615.4, 536.8,  -5.9,  -4.5,0,
  0.625, 465.0, 413.0, 212.6, 181.0,-144.3,0, 503.0, 615.8, 537.0,   6.1,   3.1,0,
  0.689, 460.0, 426.5, 203.6, 210.3,-140.0,0, 497.0, 615.8, 537.0,  -1.3,  -0.3,0,
  0.755, 422.5, 438.4, 196.9, 180.9,-102.6,0, 490.5, 616.2, 537.0,   7.5,   0.1,0,
  0.821, 445.5, 452.5, 190.7, 212.6, -92.7,0, 504.5, 615.7, 537.4,  -7.6,   5.7,0,
  0.889, 422.5, 467.6, 183.2, 222.0,-110.9,0, 498.0, 616.0, 537.2,   3.4,  -1.8,0,
  0.958, 437.5, 482.3, 179.6, 213.4, -52.5,0, 499.0, 615.8, 536.9,  -2.5,  -4.6,0,
  1.021, 446.5, 497.7, 176.9, 243.5, -42.6,0, 500.5, 615.7, 537.1,  -0.9,   3.4,0,
  1.089, 401.5, 511.4, 176.2, 202.2,  -9.6,0, 501.5, 615.7, 537.2,   0.0,   0.9,0,
  1.188, 416.0, 532.9, 173.5, 217.6, -27.9,0, 493.0, 615.9, 537.2,   1.5,   0.5,0,
  1.292, 428.0, 554.8, 176.0, 209.2,  23.7,0, 501.5, 616.1, 537.1,   1.6,  -1.6,0,
  1.355, 429.0, 564.7, 176.5, 158.5,   7.9,0, 508.5, 615.7, 537.3,  -5.7,   4.2,0,
  1.458, 447.0, 572.2, 178.6,  73.3,  20.5,0, 494.0, 616.6, 537.3,   8.3,  -0.2,0,
  1.521, 438.0, 576.5, 178.7,  67.9,   1.5,0, 493.0, 616.1, 536.8,  -7.3,  -8.8,0,
  1.588, 439.0, 580.3, 178.5,  56.1,  -2.0,0, 491.0, 616.6, 537.5,   7.3,  11.7,0,
  1.655, 426.5, 583.4, 179.1,  47.2,   9.2,0, 502.5, 616.1, 537.4,  -7.7,  -1.3,0,
  1.721, 444.0, 587.6, 179.5,  63.6,   5.8,0, 494.5, 616.0, 537.2,  -1.3,  -3.6,0,
  1.791, 433.5, 590.5, 179.3,  40.6,  -3.3,0, 493.0, 616.3, 537.3,   4.9,   0.8,0,
  1.855, 445.5, 594.7, 180.6,  66.8,  20.3,0, 507.0, 616.0, 537.3,  -5.0,   1.2,0,
  1.921, 425.0, 599.1, 181.2,  66.4,   8.9,0, 500.5, 615.8, 537.0,  -3.3,  -5.7,0,
